date,raceNum,trackType,weather,trackCondition,dist,numHorses,Last_Race,Past_Race,Past_Track,Past_Pos,Horse,Jockey,Weight,M/E,PP,Odds,Fav,Comments,
12Jan20,7,AQU,3,Dream Bigger,Alvarado/Junior,122,M/E,1,2.00,Y,dueled 2-3w, drew off,
17Feb20,9,AQU,1,More Graytful,Vargas/Jr./Jorge,118,M/E,2,2.90,N,3w upper, kept on,
16Feb20,8,AQU,3,Bourbon Bay,Franco/Manuel,118,M/E,3,3.30,N,bumped st, improved,
21Feb20,5,AQU,2,Prince of Pharoahs,Carmouche/Kendrick,119,M/E,5,6.90,N,chased 4-5w, tired,
21Feb20,5,AQU,1,Titan's Will,Rodriguez/Castro/Luis,120,M/E,6,21.80,N,3w upper, no impact,
16Feb20,8,AQU,4,Scilly Cay,Lezcano/Jose,122,M/E,4,3.85,N,dueled 3-4w, faltered,
FR,FR,FR,FR,Dancing,Franco/Manuel,120,M/E,4,2.80,N,brsh st,3w,4w into str,
22Feb20,6,AQU,4,Farragut,Gutierrez/Reylu,120,M/E,6,10.20,N,2w turn, 6w rally lane,
FR,FR,FR,FR,Senrima,Vargas/Jr./Jorge,120,M/E,5,52.75,N,brsh st,ins half,5w,
14Feb20,3,AQU,3,Unbridled John,Rodriguez/Castro/Luis,120,M/E,3,25.00,N,brsh st,ins,5w 1/8pl,
29Feb20,3,AQU,3,Not Phar Now,Cancel/Eric,120,M/E,2,3.50,N,vied 2w, gave way,
29Feb20,6,AQU,7,Black Irish,Richards/Gary,120,M/E,7,74.25,N,stmble brk,to ins 1/2,
FR,FR,FR,FR,Whiskey,Lezcano/Jose,120,M/E,1,8.90,N,vie near ins, faltered,
17Feb20,9,AQU,3,Ernie Banker,Alvarado/Junior,120,M/E,8,1.20,Y,choppy,pull up,van'd,
